,User,Date Created,Number of Likes,Source of Tweet,Tweet
39,SuerteDiaBeso,2022-11-28 14:18:18+00:00,0,Twitter for iPhone,"@joef1_ @elonmusk Glad you are going to your “safe” place where civil debate to everyone, despite the subject, is not allowed. #thankyouelonmusk"
40,MAGAcolonist,2022-11-28 10:06:49+00:00,0,Twitter for iPhone,@elonmusk Nice Flintlock. One of my ancestors fought with Washington for Freedom. Glad you are fighting for our Freedoms as well. #ThankYouElonMusk #FreedomOfSpeech
41,Kyliesmiley1990,2022-11-28 04:28:15+00:00,0,Twitter for Android,Elon Musk really saved this year for me honestly. Thank you Elon for giving back not only my voice but every voice silenced by one sided standing Twitter employees. Also watching some people cry about Twitter is a plus🤣 #ThankYouElonMusk
42,Lady_Patriot2,2022-11-28 04:25:32+00:00,0,Twitter for iPhone,"@elonmusk @ggreenwald @elonmusk 
Thank you for listening to us.  We have spent so much time and energy being canceled, censored, deleted, shadow banned, etc. and nobody would listen to us until now.

#ThankYouElonMusk"
43,Vouchingtonpost,2022-11-28 03:40:18+00:00,0,Twitter Web App,i was silenced but im back #ThankYouElonMusk
44,krissiev1992,2022-11-28 01:10:45+00:00,0,Twitter for iPhone,just made a new twitter only to look up my old account 🤣 #flashbacks #oldtimes #krissietragedy 🤣 #thankyouelonmusk @elonmusk
45,EthanAugreen,2022-11-28 00:24:22+00:00,0,Twitter Web App,"SCOOP: This week, @ElonMusk's #Twitter #Amnesty for suspended accounts begins. It's not automatic - users will have to submit new appeals. 

With luck, I'll get my old anonymous suspended (for no good reason) account back. 
#TwitterAmnesty #ThankYouElonMusk https://t.co/QMMzBiE2bz"
46,Lady_Patriot2,2022-11-27 22:59:29+00:00,0,Twitter for iPhone,"@RepWeinstein @elonmusk You need to keep your thoughts to yourself.
Shut up and stop trying to influence people who employ you.
#ThankYouElonMusk"
47,mr__beaver,2022-11-27 20:31:32+00:00,2,Twitter for iPhone,"#Twitter becomes a safe space for me. I just can send a tweet when something is in my mind and i know it's ok. 
I don't care about followers or likes or even if my tweets get seen. It feels good just to let it out and know it's ok.
#ThankYouElon #thankyouelonmusk"
48,SurvivalOutside,2022-11-27 20:09:29+00:00,1,Twitter for iPhone,@patfkauffman The BEST ever! @elonmusk #ThankYouElonMusk
49,SteveHa81334631,2022-11-27 17:37:21+00:00,1,Twitter for Android,"If Twitter was still controlled by the marxist-leftists, those posting comments questioning or criticizing the FTX-Crypto situation would be finding their accounts blocked. 
#thankyouelonmusk"
50,ChrisGr57392443,2022-11-27 16:13:23+00:00,0,Twitter for iPhone,"@jasonanthonyn @elonmusk More Lies From The Liberals!#thankyouelonmusk You Will achieve More Greatness and the Leftists can’t Handle The @TruthSocial and Twitter! I like them both! I am a conservative, and we love our country!@Twitter #ElonMusk! We were not allowed to be on Twitter without going to jail!"
51,CarltonWharf,2022-11-27 13:48:05+00:00,0,Twitter for Android,"@Jules31415 @nedryun @elonmusk Thank you for letting us know what companies are rejecting free speech! My family and I will not be supporting them!😋
#thankyouelonmusk"
52,Texan_4Trump777,2022-11-27 07:38:01+00:00,0,Twitter for Android,"@hodgetwins Well, since the shroud of darkness that had engulfed Twitter has been removed, and things are fair now (Thank you @elonmusk ) we are happy to be back on here once again. Plus you guys are funny as fuck. 
#thankyouelonmusk
#hodgetwins"
53,BryanFross,2022-11-27 01:23:54+00:00,1,Twitter for iPhone,"Seriously, @elonmusk how is this app FREE? 

I would gladly pay a subscription fee for the comedy (including this self-own by @Alyssa_Milano) that has taken place since you started putting water on the dumpster fire of political bias Twitter had become. #thankyouelonmusk #LOL https://t.co/SWD36P8pf0"
54,JuliejTarot,2022-11-26 23:26:14+00:00,1,Twitter for iPhone,@DeppSoldier_22 I do. That’s why #AmberHeardlsAnAbuser got so mad &amp; left.#thankyouelonmusk is a business man first. Twitter will be next big thing in SM. #BringJohnnyBack #TwitterTakeover always been my fav cause you can actually converse &amp; connect w ppl vs popularity contest &amp; trash on IG.
55,themaestro89,2022-11-26 23:06:34+00:00,0,Twitter for iPhone,@elonmusk had done more for #FreeSpeech than every single member of the @GOP. Thank you Elon! #1A #thankyouelonmusk
56,JuliejTarot,2022-11-26 22:28:33+00:00,1,Twitter for iPhone,@dickwarlock13 Ha ha I’ve been on Twitter for years it’s by far my fav &amp; I’ve said this from beginning #thankyouelonmusk is going to blow #TwitterTakeover out of the water. Next big thing in #socialmedia always want to catch it on the up &amp; coming. #WelcomeBackAdam
57,genXrunning,2022-11-26 21:13:46+00:00,0,Twitter for iPhone,"@StephenKing Disagree! With @elonmusk in charge everyone’s voice can be heard, not just the left. #thankyouelonmusk"
58,barefootfarm1,2022-11-26 19:40:41+00:00,0,Twitter for Android,Anyone else about ready to ditch Facebook for Twitter #FreeSpeech #Thanksgiving #thankyouelonmusk #
59,cyberhobbiton,2022-11-26 19:28:17+00:00,0,Twitter Web App,"#thankyouelonmusk 

@RepBradWenstrup crush that W.H.O, ''treaty''

@SenSherrodBrown pinkslip if you fail to realize the NurembergCrimes YOUR DEMENTED Thief-in-chief put Americans through

@OhioAG we want that MedicalFreedom amendment

This is a hypocracy joke that's NOT FUNNY"
60,DavidPTeague,2022-11-26 19:04:37+00:00,0,Twitter Web App,"@elonmusk @TimRunsHisMouth Elon Musk you Sir are one classy gentleman.  Thank you for being you and supported Free Speech. You are First Class and put your money where your heart is. Very rare!
#Elon #ElonMusk #ElonMust #thankyouelonmusk https://t.co/aPSmWtMp35"
61,BuxbomO,2022-11-26 18:36:52+00:00,6,Twitter for iPhone,Free speech! #FreeSpeech #JohnnyDepp #AdamWaldman #thankyouelonmusk
62,awickedlife,2022-11-26 17:22:52+00:00,0,Twitter Web App,Trying the commerce function for the first time. Easier than Facebook. #thankyouelonmusk #SmallBusinessSaturday #womanownedbusiness #deadlybeloved
63,frgroenendijk,2022-11-26 17:02:43+00:00,0,Twitter Web App,"Today I found out how big the hatred from banking- and (other) #TechGiants is towards #Bitchute/ #FreedomOfSpeech.
#ThankYouElonMusk Thanks in advance @ElonMusk https://t.co/7wz910eAT2"
64,RayBobMcCobb,2022-11-26 16:51:59+00:00,0,Twitter for Android,"Is it just me, or is #NewTwitter f'n awesome? #thankyouelonmusk"
65,Madysonx17x,2022-11-26 15:50:06+00:00,0,Twitter for iPhone,#ThankYouElonMusk again but what about the rest?  Surely they weren’t all spambots? https://t.co/WLUlZjAnH4
66,Madysonx17x,2022-11-26 14:16:50+00:00,0,Twitter for iPhone,"🎉🎈🎉🎈 First tweet in over 2 years #ThankYouElonMusk

Could I have my follow/followers back now please 🙏🏻"
67,Reem4ksa1,2022-11-26 13:02:45+00:00,0,Twitter for iPhone,"@elonmusk Dear Sir #ELONMUSK many accounts were suspended for no apparent reason and when trying to know why we never had any response, that was before you.
hopefully, that is from the past #thankyouelonmusk"
68,KiraSuicide1,2022-11-26 07:48:03+00:00,6,Twitter Web App,"every time someone trolls me im gonna just block and publicize the reason i think what i think, so u can all read n make up ur own minds if u want to because that's the whole point of freedom of speech (while we still have it.)
#thankyouelonmusk"
69,blaziking135,2022-11-26 06:49:26+00:00,0,Twitter for iPhone,Twitter is finally becoming a good website. #thankyouelonmusk
70,steveMmattison,2022-11-26 05:13:58+00:00,0,Twitter Web App,"@elonmusk @AP In about two weeks Elon, ur gonna have to start naming names. #goelon #thankyouelon #thankyouelonmusk"
71,ALeashAboveTx,2022-11-26 04:32:48+00:00,1,Twitter Web App,"Hmmmm.  I may be getting my private account back very soon!!!  Mine was none of these.  Mine was sending cute memes to a person (we followed each other) who asked for them because she was sad and crying (as the pandemic hit).  
https://t.co/DFou4GZZr6

#ThankYouElonMusk"
72,SocialismSucs,2022-11-26 03:26:11+00:00,1,Twitter for Android,@RealJamesWoods @elonmusk I'm so damn glad I see your tweets in my feed again! #Grateful #ThankYouElonMusk
73,ahoaglin1,2022-11-26 03:01:45+00:00,0,Twitter Web App,"@elonmusk @Liz_Wheeler As an Apple supporter, I will gladly give up my devises for free speech. #freespeech #thankyouelonmusk"
74,EricBurton83,2022-11-26 02:59:44+00:00,3,Twitter for iPhone,"I’m back!
#thankyouelonmusk #FreeSpeechMatters #Twitter #returning #moretocome"
75,Americangurlz44,2022-11-26 02:22:42+00:00,1,Twitter Web App,#ThankyouElonMusk This gives us hope that freedom isn't dead.
76,andyomega,2022-11-25 21:22:21+00:00,0,Twitter for Android,"@MuskUniversity My entire life is a Rube Goldberg and you my good man have just removed a lego blocking my tack. #thankyouelon #thankyouelonmusk

PS please if you can restore my Tweets from about June 23-25th 2009 I broke the news of Michael Jackson's Death I'll tell you how."
77,REOmamma_,2022-11-25 21:01:58+00:00,0,Twitter for Android,@elonmusk @RBReich Well..we didnt trust Twitter before elon bought it. Now i moved my advertising to it because those deadbeats are gone. So there's that. #missionaccomplished #thankyouelonmusk
78,xKlausSchwabWEF,2022-11-25 20:15:31+00:00,0,Twitter for iPhone,@RT_com @elonmusk called them out on their lies and warmongering and they had to react. #Accountability #VoxPopuliVoxDei #thankyouelonmusk
79,xKlausSchwabWEF,2022-11-25 16:49:23+00:00,0,Twitter Web App,"Watching people on @Twitter accusing everyone that disagrees with them of being ""#disinformation bots"" and ""far-right extremists"" https://t.co/Ht7Q8pRofZ #thankyouelonmusk @Mr_Camron vs. @BillOReilly #YouMad #EscapeTheMatrix"
80,BolzMary,2022-11-25 15:40:58+00:00,0,Twitter for Android,Amazing 👏 #thankyouelonmusk
81,DG1794798538,2022-11-25 14:52:19+00:00,1,Twitter Web App,"#ElectionFraudDeniers 
#thankyouelonmusk 

Right there in front of you in #MaricopaCounty Arizona....
Split ticket? Nice down ballot are you serious? Our Treasurer with 100,000 votes more than #KatieHobbs ......yo🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤣🤣🤣🍿"
82,BlockerxB,2022-11-25 14:18:47+00:00,5,Twitter Web App,"A little tribute to @elonmusk 

#thankyouelonmusk https://t.co/o8OcODRr85"
83,CityOnTheBayou,2022-11-25 13:44:18+00:00,0,Twitter for iPad,"@catturd2 @elonmusk Elon plays chess and is always a few steps ahead. He might be one of the most important social figures we have right now actively fighting against cultural oppression. 

#thankyouelonmusk"
84,JohnThomasGalt,2022-11-25 09:17:44+00:00,4,Twitter Web App,"Antihuman ecomentalist pedophiles own the old media and the old money.  

Elon's #Twitter and #BTC are the future.  

#ThankYouElonMusk #ThankYouSatoshi https://t.co/3OatUY2pRL"
85,AValdovinos79,2022-11-25 09:11:50+00:00,1,Twitter Web App,@saltypico @DetranMusic @GOP Speaking of bots. #thankyouelonmusk https://t.co/Y94zreOs7r
86,Kris_Holkeboer,2022-11-25 07:33:06+00:00,0,Twitter Web App,"Thank You @elonmusk for Bringing Me back on Twitter. I wasn't banned, or anything like that. It just really sucked

#thankyouelonmusk"
87,KiraSuicide1,2022-11-25 06:55:20+00:00,2,Twitter Web App,"@MattWallace888 i been trusting Elon since he had that first poll in march or april about whether we believe freedom of speech is  a foundation of a free society. so far, he's done every single thing he said and more. #thankyouelonmusk 
we all need something to believe in. https://t.co/OToS63P89E"
88,_SyNapz420,2022-11-25 04:24:08+00:00,0,Twitter Web App,"Why are so many progressives liberals #karens?
Mysteries that abound like #IllegalImmigration &amp; #HuntersLaptop

would you like some great Canadian cheese with your California whine or prefer to call the Twitter police ?

oh wait, they've all been fired!

#ThankYouElonMusk"
89,UnboxedCrayon,2022-11-25 03:44:15+00:00,0,Twitter for iPhone,@danihuntley So I answered it… then it showed me the results… then it reset… so I picked another answer 🤷🏽‍♂️😆 #ThankYouElonMusk
90,dexridge,2022-11-25 03:29:27+00:00,0,Twitter for iPhone,@Twitter is now truly for anyone. My tweets are actually being read! #ThankYouElonMusk
91,TootsiesTuts,2022-11-25 01:15:18+00:00,0,Twitter for iPhone,@elonmusk @Technicals_ Ohhhhh snap! My ta-ta photos are coming back! #ThankYouElonMusk
92,Truthnaut,2022-11-25 01:08:54+00:00,1,Twitter Web App,"@elonmusk #ThankYouElonMusk! I had a Twitter account suspended because I made Shepard Smith mad. Another because I said what we all know, that Jennifer Lawrence is a Weinstein girl."
93,weekinnerd,2022-11-25 00:51:51+00:00,0,Twitter for iPhone,"@mmpadellan So, Twitter under @elonmusk just gets better and better then! 👍 #ThankYouElonMusk"
94,tmkpatriot,2022-11-24 21:32:20+00:00,0,Twitter for iPhone,Thank You #ThankYouElonMusk
95,rlf_ss24,2022-11-24 21:06:27+00:00,2,Twitter Web App,@catturd2 @elonmusk A simple #ThankYouElonMusk   wouldn't hurt either.
96,rlf_ss24,2022-11-24 20:57:56+00:00,0,Twitter Web App,"@PiperGinny1 Is it trending?

#ThankYouElonMusk"
97,xKlausSchwabWEF,2022-11-24 20:32:52+00:00,0,Twitter Web App,"@elonmusk @elonmusk: fighting for free speech, sending people into space, harnessing the power of electricity, teaching #Latin... This man can do it all #voxpopulivoxdei (The voice of the people is the voice of #God) #ThankYouElonMusk"
98,TwisterAudio,2022-11-24 19:55:38+00:00,2,Twitter Web App,"Let's see...Republicans won back the House and fired Nancy Pelosi, Donald Trump got reinstated on Twitter, the Colorado gay bar shooter turned out be nonbinary and the Wal-Mart shooter is black. What a lousy week to be a Libtard! 😄😆😅😂🤣
#ThankYouElonMusk #DemocratsAreCorrupt"
99,TWITTURDERER,2022-11-24 18:56:45+00:00,0,Twitter for iPhone,"FACT: 

A cloth or surgical mask was never intended to and will NEVER block a virus. 

The new Twitter is great! #ThankyouElonMusk"
100,dawnjoh80485234,2022-11-24 18:55:26+00:00,0,Twitter for iPhone,@FoxNews It’s MUCH better now. Lefts are cranky because they hate free speech. Too bad. #leftsareill #thankyouelonmusk
101,dogs4pres2024,2022-11-24 18:48:55+00:00,12,Twitter for iPhone,"@EvolutionOfAgg1 @Heisenberg733 @FightingFitzman @MaxPaxCat @fredgiblet @mysteriouskat the amazing thing is with Elon running Twitter, you CAN have honest discourse without fear of semi or permanent ban. @elonmusk #thankyouelonmusk"
102,damnitjim21,2022-11-24 18:40:32+00:00,0,Twitter Web App,@JeffOnTheRight @elonmusk Same #thankyouelonmusk
