,User,Date Created,Language,Number of Likes,Source of Tweet,Tweet
55,3rdMonkeyBFI,2022-04-15 12:05:38+00:00,en,0,Twitter for iPhone,"@AngelaBelcamino Does your exit strategy come with a pacifier?!?! Just curious…

#ElonMuskTwitter #ElonMusk #ElonMuskTakeover #Twitter #TwitterTakeover https://t.co/khILEerXTM"
56,GrahamS53226607,2022-04-15 08:08:55+00:00,en,2,Twitter for iPhone,@the_resistor @DanRather #elonmuskrocks #Elonmusktakeover! Elon Musk will save Twitter! #ElonMusk
57,doriswadsworth2,2022-04-15 02:29:58+00:00,en,0,Twitter for iPhone,#firetwitter this space does NOT allow Freedom of Speech which is imperative for a functioning democracy! #elonmusktakeover
58,IAmKIN3TEK,2022-04-14 23:32:15+00:00,en,0,Twitter Web App,"Whos ready for the @elonmusk takeover?
#ELONMUSKTAKEOVER"
59,Mohit3110mm,2022-04-14 21:47:42+00:00,en,0,Twitter for Android,"Elon Musk’s Priorities for Twitter: Put Code on GitHub, Crack Down on Crypto Spam

#twitter
#ElonMusk 
#ElonMuskTwitter #ElonMuskBuyTwitter 
#elonmusktakeover"
60,R0Nabraham,2022-04-14 14:40:35+00:00,en,0,Twitter Web App,"Just imaging what it must feel like to be a employee working at twitter today.
Whats going on ? 
Just check 'production' man 😹
#ElonMuskTakeover"
61,Lava_J42,2022-04-04 21:38:38+00:00,en,0,Twitter for iPhone,"#JackDorsey … enjoy your last days at Twitter. Cause they’re numbered.
😂😂😂😂😂
#ElonMuskTakeover"
62,ThfcRock,2021-02-04 21:56:59+00:00,en,0,Twitter for Android,ENIC GET THE FUCK OUT OF MY CLUB YOU FUCKING BUSINESS HEADED TWATS #ENICOUT #ElonMuskTakeover
63,433FutbolFan,2020-08-25 04:15:01+00:00,en,20,Twitter for Android,@elonmusk do your thing you absolute legend.. you're owning the automobile industry... it's high time you started owning the football industry... There's only One Club that's made for you to buy.. it's @ManUtd. It's TIME to Takeover.. #ElonMuskTakeover
64,433FutbolFan,2020-08-25 04:12:43+00:00,en,0,Twitter for Android,@elonmusk please buy @ManUtd ...You can do it...Create an empire with @ManUtd....#ElonMuskTakeover
