,User,Date Created,Language,Number of Likes,Source of Tweet,Tweet
7967,UnknownPenguin,2012-01-29 14:09:38+00:00,en,0,Twitter for iPhone,What I miss? #TwitterBlackout
7968,NewNewTweeter,2012-01-29 14:07:39+00:00,en,0,NewsPin,Twitter users protest new Twitter policy with #TwitterCensored; #TwitterBlackout  http://t.co/uVWfPcHo via @kuratcom
7969,pervertone,2012-01-29 14:07:30+00:00,en,0,UberSocial for BlackBerry,RT @vickyvette: My #TwitterBlackout is over ~ retweet if you missed my me
7970,RayDipesto,2012-01-29 14:04:57+00:00,en,0,Twitter for iPhone,@techsoc thank you for the article- your concise explanation has won me over. #TwitterBlackout
7971,crawstuff,2012-01-29 14:04:35+00:00,en,0,Twitter SMS,RT Ok i did @vickyvette: My #TwitterBlackout is over ~ retweet if you missed my me
7972,OccupyNorwich,2012-01-29 14:04:28+00:00,en,0,Twitter Web Client,"@Occupynorwich is back after the #twitterblackout, Sad 2 see so many others didnt take part.We need to fight this censorship b4 its too late"
7973,BetoLoverubik,2012-01-29 14:02:35+00:00,en,0,Hape Esia,RT @vickyvette: My #TwitterBlackout is over ~ retweet if you missed my me
7974,tnofuentes,2012-01-29 14:00:32+00:00,en,0,TweetDeck,"@Astra543 Numbers were 1142 mentions during show, a litle low, no one mentioned #twitterblackout yesterday, I guess that's not a surprise."
7975,cargun,2012-01-29 14:00:27+00:00,en,0,IFTTT,"We will not tweet on Sunday January 29th. #TwitterCensored #TwitterBlackout #censorship @Twitter January 29, 2012... http://t.co/xs006Yz1"
7976,AlexISgeregova,2012-01-29 14:00:22+00:00,en,0,Twitter for iPhone,"@johnsondrummer a protest to censor twitter we all did on 1/28 , day passed, ppl made their point and ppl are back on #TwitterBlackout"
7977,Selonsanov,2012-01-29 14:00:15+00:00,en,0,Write Longer,miss you so... :* RT @vickyvette: My #TwitterBlackout is over ~ retweet if you missed my me
7978,Astra543,2012-01-29 13:58:46+00:00,en,0,Twitter Web Client,"@tnofuentes Yes,in opposition to Twitter censorship.  #TwitterBlackout check the tag."
